event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Wide left,FALSE,3,860.7,23.8,54.90418321,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Lower right,FALSE,2,139.4,13,3.667788056,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,263.4,13,2.495928329,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Upper left,TRUE,2,308.4,11.9,11.12146019,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,945.8,24,55.19346909,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,972.9,13.5,3.261190434,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Upper left,FALSE,2,1097.1,10.4,2.459268901,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,3,33.2,27.4,24.61344662,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,3,466.3,8.5,7.787017955,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,680.7,12.4,2.74027082,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,936.3,15.8,7.016501745,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,3,944.8,15.6,8.573864578,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Deflected,FALSE,1,22.5,21.2,64.68031309,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,2,289.1,19.1,65.85445804,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,201.2,17.7,56.8762644,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,1,34.5,19.9,61.29404746,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,339.3,15.4,39.2321111,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Top middle,FALSE,1,376.9,14.3,7.825471823,FALSE,FALSE,TRUE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,1,395.8,13.3,34.09497795,FALSE,FALSE,TRUE,FALSE,TRUE
